source,target,language,note
Codebook Library,Kodebokbibliotek,nb,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Codeboekbibliotheek,nl,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Biblioteka ksiąg kodów,pl,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Biblioteca de livros de códigos,pt-BR,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Biblioteca de livros de códigos,pt-PT,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Библиотека кодировочных книг,ru,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Kodboksbibliotek,sv,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Kod defteri kitaplığı,tr,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Бібліотека кодових книг,uk,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,編碼簿庫,zh-Hant,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebooks,Llibres de codis,ca,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Knihy kódů,cs,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Kodebøger,da,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Codebücher,de,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Libros de códigos,es,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Koodikirjat,fi,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Grilles de codage,fr,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Libri dei codici,it,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,コードブック,ja,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review - no plural marking - unchanged"
Codebooks,코드북,ko,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review - no plural marking - unchanged"
Codebooks,Kodebøker,nb,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Codeboeken,nl,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Księgi kodów,pl,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Livros de códigos,pt-BR,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Livros de códigos,pt-PT,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Кодировочные книги,ru,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review - glossary Codebook row says Книга кодов while the locale files use Кодировочная книга - reviewer to settle which"
Codebooks,Kodböcker,sv,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Kod defterleri,tr,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review"
Codebooks,Кодові книги,uk,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review - glossary Codebook row says Книга кодів while the locale files use Кодова книга - reviewer to settle which"
Codebooks,編碼簿,zh-Hant,"Lens name and nav label. The en value went plural 20 Aug 2026 and the translations stayed singular; pluralised from each locale's own existing Codebook value, not swapped to a different root. PENDING native review - no plural marking - unchanged. NOTE the glossary's Codebook row says 代碼簿 while the locale files use 編碼簿 - reviewer to settle which"
Turn,ターン,ja,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,말차례,ko,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,Redebeitrag,de,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,tour de parole,fr,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,turno de habla,es,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,torn de parla,ca,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,turno di parola,it,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,turno de fala,pt-BR,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
Turn,發言,zh-Hant,ATTRIBUTION ITEM — THIS ONE MOVES WORDS. The safety rule is lexical: a menu item naming a piece of speech re-credits words to a different person while an item naming a speaker only relabels. So the turn-noun must stay distinct from the Quotes term in this language and must never be shortened to an ambiguous bare noun. Pinned 25 Aug 2026 — pending native review.
